smiles	CYP3A4	hERG_pIC50
[Na+].CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](CC[C@@]4(C)[C@H]3CC[C@@]12C)OS(=O)(=O)[O-]	4.9	*
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)[O-]	4.9	*
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)[O-]	4.9	*
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)C(NC(=O)CSc3ccncc3)C2=O)C(=O)[O-]	4.5	*
[Na+].CC(=O)OCC1=C(N2C(SC1)C(NC(=O)Cc3cccs3)C2=O)C(=O)[O-]	4.5	*
[Na+].CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc3ccc(Cl)cc3	4.7	*
[Na+].CC[C@@](O)(C(=O)[O-])C1=C(CO)C(=O)N2Cc3cc4ccccc4nc3C2=C1	5.5	*
[Na+].CC[C@@H]([C@H]1O[C@@](CC)(C[C@H]1C)[C@@H]2CC[C@@](O)(CC)[C@H](C)O2)C(=O)[C@H](C)[C@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)[O-]	5.1	*
[Na+].CC[Hg]Sc1ccccc1C(=O)[O-]	5.5	*
[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]	4.4	*
[Na+].Cc1c2C(=O)C(=O)c3c4CCCC(C)(C)c4ccc3c2oc1S(=O)(=O)[O-]	5	*
[Na+].Cc1cc(C)c(NC(=O)C[C@H](CC(=O)[O-])c2cccc3ccccc23)c(c1)C(=O)N4CCC5(CCCC5)CC4	4.8	*
[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl	4.6	*
[Na+].Cc1nnc(SCC2=C(N3[C@@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)[O-])s1	4.5	*
[Na+].CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C2OC3(O[C@]4(CC[C@@](C)(O4)C5CC[C@@](O)(CC)C(C)O5)C(O)C=C3)C(C)CC2C)C(=O)[O-]	4.4	*
[Na+].CCC(C1OC(CC)(CC1C)C2CC[C@@](O)(CC)C(C)O2)C(=O)C(C)C(O)C(C)CCc3ccc(C)c(O)c3C(=O)[O-]	4.7	*
[Na+].CCCC(C)C1(CC)C(=O)NC(=NC1=O)[S-]	5.2	*
[Na+].CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)[S-]	4.9	*
[Na+].CCCC(CCC)C(=O)[O-]	5.8	*
[Na+].CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1	4.6	*
[Na+].CCOc1ccc(cn1)c2ccc(c(CN(CC)C(=O)C3CC3)c2)c4cc(CC(=O)[O-])ccc4OC	8.7	*
[Na+].CN1C(=C([O-])c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3	4.9	*
[Na+].Cn1nnnc1SCC2=C(N3C(SC2)C(NC(=O)C(O)c4ccccc4)C3=O)C(=O)[O-]	7.2	*
[Na+].COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](NCCCC(=O)[O-])c4ccccc4)C2=O)c1F	4.25	*
[Na+].COc1cnc(nc1)c2ccc(Cn3c(CC(C)(C)C(=O)[O-])c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc34)cc2	5.06	*
[Na+].NC(=S)c1ccc[n+](c1)[C@@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@@H]3O[C@H]([C@@H](OP(=O)(O)[O-])[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O	4.9	*
[Na+].Nc1ccc(cc1)S(=O)(=O)[N-]c2cnc3ccccc3n2	4.6	*
[O-][N+](=O)\C(=C\C(=C1N(Cc2ccc(Cl)nc2)CCN1Cc3ccc(Cl)nc3)[N+](=O)[O-])\Cl	4.85	*
[O-][N+](=O)\C=C\c1cn(Cc2ccccc2)c3ccccc13	5.85	*
[O-][N+](=O)C1=C(NC2CCCCC2)C3=NC4(CCCCC4)[N+](=C3C=C1)[O-]	5.5	*
[O-][N+](=O)C1=CC(=CN(Cc2c(Cl)cccc2Cl)C1=O)C(F)(F)F	4.85	*
[O-][N+](=O)c1c2ccccc2cc3ccccc13	5	*
[O-][N+](=O)c1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)ccc1N4CCCC4	5.8	*
[O-][N+](=O)c1cc(\C=C(\C#N)/c2nc3ccccc3[nH]2)ccc1N4CCCC4	5.55	*
[O-][N+](=O)c1cc(\C=N/OC(=O)c2c(F)cccc2F)ccc1N3CCCCC3	4.9	*
[O-][N+](=O)c1cc(\C=N\NC(=O)c2ccccn2)ccc1Sc3nc4ccccc4s3	5.45	*
[O-][N+](=O)c1cc(C(=O)NCC=C)c2N=C(Nc3ccc(Cl)c(Cl)c3)NC(=O)c2c1	5	*
[O-][N+](=O)c1cc(c2[nH]c3c(nc(CN4CCOCC4)nc3c2c1)N5CCN(CCc6ccc(F)c(F)c6)CC5)[N+](=O)[O-]	4.37	*
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)NCc2cn(nc2c3ccccc3)c4ccccc4	5.6	*
[O-][N+](=O)c1cc(cc(c1Cl)[N+](=O)[O-])C(F)(F)F	4.6	*
[O-][N+](=O)c1cc(cc(c1Oc2ccc3C4=C(CCCC4)C(=O)Oc3c2)[N+](=O)[O-])C(F)(F)F	4.85	*
[O-][N+](=O)c1cc(cc2c1sc(C(=O)N3CCCCC3)[n+]2[O-])C(F)(F)F	5.41	*
[O-][N+](=O)c1cc(cc2nc(sc12)C3=N[C@@H](CO3)C(=O)N4CCCC4)C(F)(F)F	4.73	*
[O-][N+](=O)c1cc(ccc1N2CCCC2=O)S(=O)(=O)Oc3cccc(Cl)c3	4.9	*
[O-][N+](=O)c1cc(ccc1N2CCCCC2)C(=O)N(Cc3ccccc3)c4ccccn4	5.45	*
[O-][N+](=O)c1cc(ccc1N2CCOCC2)C(=O)Nc3ccc(cc3)c4oc5ccccc5n4	4.95	*
[O-][N+](=O)c1cc(ccc1NCCCCNS(=O)(=O)c2ccc3ccccc3c2)C(F)(F)F	4.85	*
[O-][N+](=O)c1cc(ccc1Oc2ccc(\C=C(/C#N)\c3nc4ccccc4[nH]3)cc2)C(F)(F)F	4.95	*
[O-][N+](=O)c1cc(ccc1SCC(=O)Nc2ccccc2)C(F)(F)F	4.8	*
[O-][N+](=O)c1cc(Cl)ccc1C(=O)NCc2ccc(Cl)cc2	4.9	*
[O-][N+](=O)c1cc(Cl)ccc1C(=O)NCc2ccccc2	4.65	*
[O-][N+](=O)c1cc(Cl)ccc1N2CCN(CC2)C(=O)CSc3ccc(Cl)cc3	6.2	*
[O-][N+](=O)c1cc(Cl)ccc1OCc2oc(cc2)C(=O)NC34CC5CC(CC(C5)C3)C4	4.8	*
[O-][N+](=O)c1cc(F)c(cc1N2CCCCC2)N3CCOCC3	4.75	*
[O-][N+](=O)c1cc(NC(=O)c2ccc(Cl)cc2)cc(Sc3ccccn3)c1	5.1	*
[O-][N+](=O)c1cc2C(=O)c3ccccc3c2cc1[N+](=O)[O-]	6.3	*
[O-][N+](=O)c1cc2OCOc2cc1\C=N\c3ccccc3	4.7	*
[O-][N+](=O)c1cc2OCOc2cc1\C=N\Nc3nc(Nc4ccccc4)nc(n3)N5CCCCC5	5.15	*
[O-][N+](=O)c1ccc(\C=C(/NC(=O)c2ccccc2)\C(=O)Nc3cccc4ccccc34)cc1	5.95	*
[O-][N+](=O)c1ccc(\C=N\n2c(S)nnc2COc3ccccc3)cc1	4.8	*
